Object,Nebula Type,Constellation,Catalogue Number,Catalogue Number 2,Distance from Sun (ly),Magnitude
BHR 71,Dark Nebula,Musca,BHR 71,,600,
Horsehead Nebula,Dark Nebula,Orion,Barnard 33,,1500,
Orion Nebula,Emission Nebula,Orion,M42,NGC 1976,1500,4.0
Cone Nebula,Dark Nebula,Monoceros,NGC 2264,,2500,3.9
IC 1396,Emission Nebula,Cepheus,IC 1396,,3000,
DR6,Emission Nebula,Cygnus,DR6,,4000,
Lagoon Nebula,Emission Nebula,Sagittarius,M8,NGC 6523,5200,6.0
Eagle Nebula,Emission Nebula,Serpens,IC 4703,,7000,6.0
IC 2944,Emission Nebula,Centaurus,IC 2944,,5900,4.5
Sharpless 29,Emission Nebula,Sagittarius,SH 2-29,,4100,8.0
Trifid Nebula,Emission Nebula,Sagittarius,M20,,7600,6.3
Carina Nebula,Emission Nebula,Carina,NGC 3372,,8000,1.0
RCW 49,Emission Nebula,Carina,RCW 49,GUM 29,14000,
